"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C14","Capacitor","885mil","230mil","835mil","230mil","835mil","230mil","T","360.00","Electrolytic Capacitor"
"C1","0603","80mil","210mil","80mil","210mil","46.535mil","210mil","T","360.00","C0603"
"C2","0603","205mil","230mil","205mil","230mil","238.464mil","230mil","T","180.00","C0603"
"C3","0603","460mil","125mil","460mil","125mil","493.464mil","125mil","T","180.00","C0603"
"C4","0603","150mil","100mil","150mil","100mil","116.535mil","100mil","T","360.00","C0603"
"C5","0603","480mil","271.535mil","480mil","271.535mil","480mil","238.071mil","T","90.00","C0603"
"C6","0603","645mil","395mil","645mil","395mil","645mil","428.464mil","T","270.00","C0603"
"C7","0603","720mil","180mil","720mil","180mil","686.535mil","180mil","T","360.00","C0603"
"C8","0603","755mil","380mil","755mil","380mil","721.535mil","380mil","T","360.00","C0603"
"C9","0603","760mil","565mil","760mil","565mil","793.465mil","565mil","T","180.00","C0603"
"C10","0603","1070mil","315mil","1070mil","315mil","1103.465mil","315mil","T","180.00","C0603"
"C11","0603","1035mil","515mil","1035mil","515mil","1035mil","481.536mil","T","90.00","C0603"
"C12","0603","1065mil","225.236mil","1065mil","225.236mil","1065mil","191.772mil","T","90.00","C0603"
"C13","0603","1060mil","135mil","1060mil","135mil","1026.535mil","135mil","T","360.00","C0603"
"D1","VBPW34FAS","225mil","480mil","225mil","480mil","84.252mil","480mil","T","360.00","VBPW34FAS"
"J1","3P_0.1_SIP","830mil","50mil","930mil","50mil","930mil","50mil","T","270.00","3P_0.1_SIP"
"Q1","ONSC-SOT-23-3-318-08_V","330mil","270mil","330mil","270mil","290.63mil","307.402mil","T","0.00","MMBT3904LT3G"
"Q2","ONSC-SOT-23-3-318-08_V","335mil","125mil","335mil","125mil","295.63mil","162.402mil","T","360.00","MMBT3906LT3G"
"Q3","ONSC-SOT-23-3-318-08_V","645mil","270mil","645mil","270mil","607.598mil","230.63mil","T","90.00","MMBT3904LT3G"
"Q4","ONSC-SOT-23-3-318-08_V","755mil","475mil","755mil","475mil","717.598mil","435.63mil","T","90.00","MMBT3906LT3G"
"Q5","ONSC-SOT-23-3-318-08_V","940mil","370mil","940mil","370mil","900.63mil","407.402mil","T","0.00","MMBT3904LT3G"
"Q6","ONSC-SOT-23-3-318-08_V","1205mil","395mil","1205mil","395mil","1165.63mil","432.402mil","T","360.00","MMBT3906LT3G"
"R1","3-0603","80mil","290mil","80mil","290mil","113.465mil","290mil","T","180.00","10K"
"R2","3-0603","50mil","120mil","50mil","120mil","50mil","86.535mil","T","90.00","10K"
"R3","3-0603","205mil","360mil","205mil","360mil","238.464mil","360mil","T","180.00","8.2K"
"R4","3-0603","205mil","305mil","205mil","305mil","171.536mil","305mil","T","360.00","8.2K"
"R5","3-0603","420mil","235mil","420mil","235mil","420mil","268.464mil","T","270.00","1.5K"
"R6","3-0603","240mil","115mil","240mil","115mil","240mil","81.535mil","T","90.00","560"
"R7","3-0603","150mil","155mil","150mil","155mil","183.464mil","155mil","T","180.00","33"
"R8","3-0603","535mil","270mil","535mil","270mil","535mil","303.464mil","T","270.00","33"
"R9","3-0603","540mil","180mil","540mil","180mil","506.536mil","180mil","T","360.00","15K"
"R10","3-0603","630mil","145mil","630mil","145mil","630mil","111.535mil","T","90.00","6.8K"
"R11","3-0603","555mil","360mil","555mil","360mil","521.535mil","360mil","T","360.00","2.7K"
"R12","3-0603","720mil","120mil","720mil","120mil","753.465mil","120mil","T","180.00","1K"
"R13","3-0603","555mil","430mil","555mil","430mil","521.535mil","430mil","T","360.00","6.8K"
"R14","3-0603","610mil","485mil","610mil","485mil","576.535mil","485mil","T","360.00","15K"
"R15","3-0603","755mil","325mil","755mil","325mil","721.535mil","325mil","T","360.00","1K"
"R16","3-0603","610mil","540mil","610mil","540mil","576.535mil","540mil","T","360.00","2.7K"
"R17","3-0603","885mil","480mil","885mil","480mil","918.465mil","480mil","T","180.00","100K"
"R18","3-0603","850mil","370mil","850mil","370mil","850mil","336.536mil","T","90.00","12K"
"R19","3-0603","1070mil","370mil","1070mil","370mil","1036.535mil","370mil","T","360.00","56K"
"R20","3-0603","980mil","515mil","980mil","515mil","980mil","548.465mil","T","270.00","33"
"R21","3-0603","1070mil","425mil","1070mil","425mil","1036.535mil","425mil","T","360.00","56K"
"R22","3-0603","1210mil","510mil","1210mil","510mil","1176.535mil","510mil","T","360.00","5.6K"
"R23","3-0603","1240mil","205mil","1240mil","205mil","1240mil","171.536mil","T","90.00","1.2K"
"R24","3-0603","1180mil","225.236mil","1180mil","225.236mil","1180mil","258.701mil","T","270.00","100K"
"R25","3-0603","1125mil","225.236mil","1125mil","225.236mil","1125mil","258.701mil","T","270.00","100K"
"R26","3-0603","1170mil","45.236mil","1170mil","45.236mil","1136.535mil","45.236mil","T","360.00","100K"
"R27","3-0603","1045mil","45mil","1045mil","45mil","1011.535mil","45mil","T","360.00","33"
"U1","MP6C","1170mil","130.236mil","1170mil","130.236mil","1150.315mil","115.472mil","T","90.00","TC75S70L6X"

